'kang'gan'ling 抗感灵
'ju'hong'li'gao 橘红梨膏
'jian'hao'ning 健豪宁
'yan'suan'an'pu'le'ding'di'yan'ye 盐酸安普乐定滴眼液
'yan'suan'an'pu'yue'ding'di'yan'ye 盐酸安普乐定滴眼液
'yan'suan'an'pu'lao'ding'di'yan'ye 盐酸安普乐定滴眼液
'mu'yao'zi 木药子
'zhu'she'yong'tou'bao'pi'an'na 注射用头孢匹胺钠
'dang'gui'long'hui'jiao'nang 当归龙荟胶囊
'gou'qi'jin'jiu 枸杞浸酒
'gou'ji'jin'jiu 枸杞浸酒
'yi'fei'san 益肺散
'wu'zao'jian'nao'an'shen'pian 乌枣健脑安神片
'gan'cao'suan'dan'an'yan 甘草酸单铵盐
'gan'cao'suan'shan'an'yan 甘草酸单铵盐
'gan'cao'suan'chan'an'yan 甘草酸单铵盐
'ben'jia'suan'bian'zhi'cha'ji 苯甲酸苄酯搽剂
'yang'mei'qing 杨梅青
'zhu'she'yong'lai'an'pi'lin 注射用赖氨匹林
'bu'xia'wan 补下丸
'zhi'zhu'hua'you 踯躅花油
'xu'duan'zhi'xue'fang 续断止血方
'bao'tong'hua'tan'wan 保童化痰丸
'tan'te'li'er 坦特利尔
'qing'ling'wan 青灵丸
'bu'gu'zhi'guo'fang 补骨脂裹方
'fen'zhu'san 分珠散
'shen'shui'gao 神水膏
'di'huang'gao'zi'wan 地黄膏子丸
'zi'yin'ping'gan'tang 滋阴平肝汤
'zi'yin'ping'gan'shang 滋阴平肝汤
'ya'er'qin'gen 鸭儿芹根
'tiao'jing'yang'yan 调经养颜
'zhi'chuan'ling 治喘灵
'hua'mo'yan'jiao'nang 滑膜炎胶囊
'gu'zhi'ning 骨质宁
'dong'gan'feng'wang'jiang'san 冻干蜂王浆散
'hu'po'suan'duo'xi'la'min 琥珀酸多西拉敏
'ba'jiao'hui'xiang'shui 八角茴香水
'gan'shu'jiao'nang 肝舒胶囊
'yan'suan'qi'fang'xian'jun'su 盐酸奇放线菌素
'yan'suan'ji'fang'xian'jun'su 盐酸奇放线菌素
'ma'gen'zhi'jiu'fang 麻根汁酒方
'gan'jun'tai'yan'gao 杆菌肽眼膏
'long'bi'shu'pian 癃闭舒片
'a'bi'duo'er'pian 阿比多尔片
'gui'mei'suan'pian 桂美酸片
'shuai'ke'feng 帅克风
'qian'niu'san 牵牛散
'jing'dan'xin'yi'dao'su'zhu 精蛋锌胰岛素注
'jie'chang'ning'shuan 结肠宁栓
'lu'rong'tang 鹿茸汤
'lu'rong'shang 鹿茸汤
'chun'xian'huo'jian 唇腺活检
'lian'gen'san 练根散
'fu'fang'yan'bai'cai'su'pian 复方岩白菜素片
'xiao'qing'yang 小青杨
'shui'zi'e 水紫萼
'sheng'ma'su'gan 升麻素苷
'jue'ji'qi 蕨鸡七
'tian'ma'gou'teng'geng 天麻钩藤羹
'qi'li'wan 气痢丸
'rui'tan 瑞坦
'nai'pu'sheng'chang'rong'wei'wan'jiao'nang 萘普生肠溶微丸胶囊
'jiu'shi'suan'tuo'te'luo'ding'jiao'nang 酒石酸托特罗定胶囊
'zang'qing'guo'chong'ji 藏青果冲剂
'sheng'long'gu 生龙骨
'chai'hu'gua'lou'gan'jiang'tang 柴胡栝蒌干姜汤
'chai'hu'tian'lou'gan'jiang'tang 柴胡栝蒌干姜汤
'chai'hu'kuo'lou'gan'jiang'tang 柴胡栝蒌干姜汤
'chai'hu'gua'lou'gan'jiang'shang 柴胡栝蒌干姜汤
'chai'hu'tian'lou'gan'jiang'shang 柴胡栝蒌干姜汤
'chai'hu'kuo'lou'gan'jiang'shang 柴胡栝蒌干姜汤
'shi'wei'gen 石韦根
'dan'wei'gen 石韦根
'long'mu'fu'mai'tang 龙牡复脉汤
'long'mu'fu'mo'tang 龙牡复脉汤
'long'mu'fu'mai'shang 龙牡复脉汤
'long'mu'fu'mo'shang 龙牡复脉汤
'a'pu'zuo'lun 阿普唑仑
'bi'pai'suan'ke'li 吡哌酸颗粒
'pi'pai'suan'ke'li 吡哌酸颗粒
'ren'er'suan'ru'gao 壬二酸乳膏
'zhu'fu'zi'wan 煮附子丸
'shu'xue'tong'zhu'she'ye 疏血通注射液
'shui'gu'wan 水骨丸
'he'tun'zi 河豚子
'huo'xue'tong'jing'san 活血通经散
'qing're'zhi'yang'xi'ji'pei 清热止痒洗剂配
'huang'lian'sheng'ma'san 黄连升麻散
'luo'hong'mei'su'fen'san'pian 罗红霉素分散片
'qing're'gan'mao'ke'li 清热感冒颗粒
'cu'suan'bei'ta'mi'song'cha 醋酸倍他米松搽
'shu'yu'zao'gan'yuan 薯蓣皂苷元
'wen'yang'jiang'zhuo'tang 温阳降浊汤
'wen'yang'xiang'zhuo'tang 温阳降浊汤
'wen'yang'jiang'zhuo'shang 温阳降浊汤
'wen'yang'xiang'zhuo'shang 温阳降浊汤
'die'da'zhen'tong 跌打镇痛
'tong'sheng'san 通圣散
'tiao'rong'san 调荣散
'diao'rong'san 调荣散
'tian'men'jing 天门精
'xu'ming'dan 续命丹
'nuan'wei'shu'le'pian 暖胃舒乐片
'nuan'wei'shu'yue'pian 暖胃舒乐片
'nuan'wei'shu'lao'pian 暖胃舒乐片
'shen'rong'lu'tai'wan 参茸鹿胎丸
'zhi'min 致敏
'dou'qi'wan 都气丸
'xing'nao'ke'li 醒脑颗粒
'liu'an'fen 柳胺酚
'he'tai'tiao'qi'yin 和胎调气饮
'hu'tai'tiao'qi'yin 和胎调气饮
'huo'tai'tiao'qi'yin 和胎调气饮
'bo'luo'dan'bai'mei'chang'rong'pian 菠萝蛋白酶肠溶片
'xi'sha 细沙
'a'fa'di'san 阿法迪三
'e'fa'di'san 阿法迪三
'jiu'ji'san 救急散
'cui'xia'ding'zi 翠霞锭子
'feng'le'xing 冯了性
'feng'liao'xing 冯了性
'ping'le'xing 冯了性
'ping'liao'xing 冯了性
'jie'jing'zhen'tong'ding 解痉镇痛酊
'yi'xian'shui'yang'suan'lin'jia'yang'ben'zhi 乙酰水杨酸邻甲氧苯酯
'qu'jia'shen'shang'xian'su'zhu 去甲肾上腺素注
'ke'ping 咳平
'hai'ping 咳平
'jing'fu'zhi'yang'ke'li 荆肤止痒颗粒
'yan'suan'luo'mei'sha'xing'ke'li 盐酸洛美沙星颗粒
'bei'di'ning 倍迪宁
'qi'zhi'xue'zu'zheng 气滞血阻证
'qi'zhi'xie'zu'zheng 气滞血阻证
'shen'rong'bai'feng'wan 参茸白凤丸
'er'lin'suan'xian'gan 二磷酸腺苷
'zhu'she'yong'pai'ku'xiu'an 注射用哌库溴铵
'xin'shen'jiao'bu'wan 心肾交补丸
'an'tai'su 安泰素
'hu'zhi'zi'gen 胡枝子根
'ji'suan'zhong'yao'xue 计算中药学
'chu'bi'san 搐鼻散
'bai'hong'you 百红优
'bai'gong'you 百红优
'guang'xi'e'zhu 广西莪术
'guang'xi'e'shu 广西莪术
'guang'xi'wo'shu 广西莪术
'guang'xi'wo'zhu 广西莪术
'tou'bao'zuo'lin 头孢唑林
'an'jia'huan'suan'pian 氨钾环酸片
'xin'jiang'yi'zhi'hao 新疆一支蒿
'lv'lin'suan'er'na'zhu'she 氯膦酸而钠注射
'qian'li'mei'hua'wan 千里梅花丸
'man'shen'bao'kou'fu'ye 慢肾宝口服液
'ai'jiao'zhang 矮脚樟
'shan'zhi'zi'san 山栀子散
'ming'mu'di'huang'wan'jia'jian'fang 明目地黄丸加减方
'dian'qie'pian 颠茄片
'yu'sha'xi'jiao'wan 鱼鲨烯胶丸
'chuan'huang 川黄
'tu'gen'tang'jiang'huo'gua'di 吐根糖浆或瓜蒂
'lv'si'ti'bo 氯司替勃
'lv'si'ti'bei 氯司替勃
'geng'suan'xin 庚酸锌
'yan'suan'bing'mi'zong 盐酸丙米腙
'yang'hua'xin'cha'ji 氧化锌搽剂
'shen'zang'sun'hai 肾脏损害
'si'zuo'liu'en'tong 四唑硫蒽酮
'tong'zhong'ling'ding'ji 痛肿灵酊剂
'qing'teng'jian 青藤碱
'zhu'gu'jian 猪骨煎
'chui'liu'zhi'jian 垂柳枝煎
'chui'liu'qi'jian 垂柳枝煎
'gu'mo'shuang 古墨霜
'tong'jing'san 痛痉散
'shan'dan 删丹
'zhang'lang'fen 蟑螂粉
'hong'ni'jian'cao 虹霓剑草
'fu'fang'yan'suan'ke'le'ding 复方盐酸可乐定
'jiang'mei'jiao'nang 降酶胶囊
'xiang'mei'jiao'nang 降酶胶囊
'chu'zhang'ze'hai'fu'jiao'nang 除障则海甫胶囊
'chou'mu'xu'gen 臭苜蓿根
'xiu'mu'xu'gen 臭苜蓿根
'nong'fei'lu 浓菲露
'nong'fei'lou 浓菲露
'liu'wu'fu'zi'tang 六物附子汤
'lu'wu'fu'zi'tang 六物附子汤
'fu'zheng'yang'yin'pian 扶正养阴片
'he'ze'rui'ying'zhi'yao'ji 菏泽睿鹰制药集
'tu'di'long 土地龙
'li'ke'niu'gan'jun 栗壳牛肝菌
'li'qiao'niu'gan'jun 栗壳牛肝菌
'zhi'huang'qi 制黄芪
'dong'feng'cai 东风菜
'sheng'hua'liu'lv'hua'an'ji 升华硫氯化氨基
'sheng'di'feng 圣迪锋
'da'yi'mu'wan 大益母丸
'shan'mao'er 山猫儿
'dai'zheng'wan 带症丸
'xiang'fu'ai'ye'cha 香附艾叶茶
'xuan'shen'lian'zao'yin 玄参莲枣饮
'shi'pei'te 施沛特
'lv'hua'ya'ta'zhu'she'ye 氯化亚铊注射液
'lv'hua'ya'tuo'zhu'she'ye 氯化亚铊注射液
'sheng'ji'tang'du'zhong'ke'li 圣济堂杜仲颗粒
'chai'hu'xiao'yong'tang 柴胡消痈汤
'chai'hu'xiao'yong'shang 柴胡消痈汤
'qi'can'bu'shen'ke'li 杞参补肾颗粒
'qi'shen'bu'shen'ke'li 杞参补肾颗粒
'qi'cen'bu'shen'ke'li 杞参补肾颗粒
'qi'san'bu'shen'ke'li 杞参补肾颗粒
'yi'gan'yang'yin'huo'xue 乙肝养阴活血
'wei'han 畏寒
'huang'qi'jiu 黄芪酒
'xiao'ju'hua'gao'wan 小菊花膏丸
'tai'yang'jing'zheng 太阳经证
'fu'fang'xiao'zhong'tong'luo'tang 复方消肿通络汤
'fu'fang'xiao'zhong'tong'luo'shang 复方消肿通络汤
'qi'ye 漆叶
'qi'xie 漆叶
'bing'cao'gen 冰草根
'wu'gong'jian 蜈蚣饯
'yi'e'sai'xian'an 异恶噻酰胺
'yi'wu'sai'xian'an 异恶噻酰胺
'xian'dan'gao 仙丹膏
'qing'xin'zi'shen'di'huang'wan 清心滋肾地黄丸
'ken'te'ling 肯特令
'lu'jiao'qiu'shi'wan 鹿角秋石丸
'lu'jiao'qiu'dan'wan 鹿角秋石丸
'tian'fu'chu 天复初
'liang'xin'zhu'san 凉心煮散
'luo'xi'wei'lin'pian 罗西维林片
'zhu'xian'fang 煮线方
'zhu'she'yong'ge'na'rui'lin 注射用戈那瑞林
'zhu'she'yong'ge'ne'rui'lin 注射用戈那瑞林
'zhu'she'yong'ge'nei'rui'lin 注射用戈那瑞林
'lu'chi 鹿齿
'ke'sai'si 科赛斯
'zhuo'fei 卓菲
'tong'xuan'li'fei'wan'shui'mi'wan 通宣理肺丸水蜜丸
'tuo'yang'he'tang'he'gan'suan'na 脱氧核糖核甘酸钠
'tuo'yang'he'tang'hu'gan'suan'na 脱氧核糖核甘酸钠
'fu'fang'huang'an'sai'zuo 复方磺胺噻唑
'gui'rou 龟肉
'jun'rou 龟肉
'qiu'rou 龟肉
'fu'fang'peng'sha'rong'ye 复方硼砂溶液
'bu'yin'zhu'yang'tang 补阴助阳汤
'bu'yin'zhu'yang'shang 补阴助阳汤
'gui'tan'yin'pian 硅碳银片
'zuo'ka'ni'ting 左卡尼汀
'xing'xiao'wan 醒消丸
'er'wei'gai'lai'an'suan 二维钙赖氨酸
'wu'yu'nei'xiao'san 吴萸内消散
'pu'gan 扑感
'shen'zuo'yin 神柞饮
'shen'zha'yin 神柞饮
'can'ling'gan'kang 参灵肝康
'shen'ling'gan'kang 参灵肝康
'cen'ling'gan'kang 参灵肝康
'san'ling'gan'kang 参灵肝康
'nong'dian'gan'you 浓碘甘油
'xuan'yun'ning 眩晕宁
'xiao'er'tui're'shuan 小儿退热栓
'niu'huang'jian'bu'dan 牛黄健步丹
'ba'ji 巴吉
'xiang'su'cong'chi'tang 香苏葱豉汤
'xiang'su'cong'chi'shang 香苏葱豉汤
'cang'ai 藏艾
'zang'ai 藏艾
'cang'yi 藏艾
'zang'yi 藏艾
'hei'dou'shen'san 黑豆神散
'gan'lan'ku'gan 橄榄苦苷
'jia'huang'suan'shuang'qing'mai'jiao'du'jian'pian 甲磺酸双氢麦角毒碱片
'jia'huang'suan'shuang'qing'mai'jiao'dai'jian'pian 甲磺酸双氢麦角毒碱片
'yi'mei'ting 异美汀
'ruan'fei'zao 软肥皂
'yan'suan'bo'an'mei'su 盐酸博安霉素
'lin'suan'nai'fen'kui'pian 磷酸萘酚喹片
'xiang'gui'wan 香归丸
'yin'ke'luo 银可络
'yin'ke'lao 银可络
'mi'wu'hua 蘼芜花
'hun'yuan'wan 混元丸
'yan'suan'ti'luo'fei'ban'lv'hua'na'zhu'she'ye 盐酸替罗非班氯化钠注射液
'jia'wei'shu'fu'tang 加味术附汤
'jia'wei'zhu'fu'tang 加味术附汤
'jia'wei'shu'fu'shang 加味术附汤
'jia'wei'zhu'fu'shang 加味术附汤
'shi'wei'ce'zi'jiu'fang 十味侧子酒方
'shi'wei'ze'zi'jiu'fang 十味侧子酒方
'shi'wei'zhai'zi'jiu'fang 十味侧子酒方
'yan'suan'yi'da'bi'xing'jiao'nang 盐酸伊达比星胶囊
'han'hua'xi'jiao'wan 含化犀角丸
'qing'hao'you 青蒿油
'xi'jiao'di'yu'wan 犀角地榆丸
'yi'mei'si 依美思
'yi'xian'mai'di'mei'su'jiao'nang 乙酰麦迪霉素胶囊
'fu'fang'ming'jiao'xian'wei 复方明胶纤维
'fu'fang'ming'jiao'qian'wei 复方明胶纤维
'bei'min'wei'ma'pian 贝敏伪麻片
'xia'ku'cao'pian 夏枯草片
'jin'xing'jian'wan 金杏煎丸
'xing'shi'bu'qi'yang'xue'tang 行湿补气养血汤
'hang'shi'bu'qi'yang'xue'tang 行湿补气养血汤
'heng'shi'bu'qi'yang'xue'tang 行湿补气养血汤
'xing'shi'bu'qi'yang'xue'shang 行湿补气养血汤
'hang'shi'bu'qi'yang'xue'shang 行湿补气养血汤
'heng'shi'bu'qi'yang'xue'shang 行湿补气养血汤
'mai'ke'lang'mei'su 迈克朗霉素
'luo'si 螺蛳
'fu'fang'jin'yin'hua'ke'li 复方金银花颗粒
'gui'jia'tang 龟甲汤
'gui'jia'shang 龟甲汤
'yi'qi'yang'yuan 益气养元
'yi'nao'ning'jiao'nang 益脑宁胶囊
'fu'fa'ta'ting'na'huan'shi'pian 氟伐他汀钠缓释片
'bai'ling'ke'li 百令颗粒
'wang'hui'hui'gou'pi 王回回狗皮
'san'leng'yin 三棱饮
'qian'li'guang'bai'ji'gao 千里光白及膏
'yi'tang'ping'ke'li 益糖平颗粒
'tou'bao'an'bian'pao'teng'pian 头孢氨苄泡腾片
'mi'fei'si'tong'jiao'nang 米非司酮胶囊
'liu'suan'a'qi'mei'su 硫酸阿奇霉素
'da'ye'long'dan'cao 大叶龙胆草
'chuang'zhuo 创灼
'hong'yao'zi 红药子
'bing'an'ji'mei'ling 丙安肌美灵
'ren'shen'ning'shen'tang 人参宁神汤
'ren'shen'ning'shen'shang 人参宁神汤
'duo'hua'ye'mu'dan 多花野牡丹
'jiu'ming'wang 救命王
'bai'zi'yang'xin'jiao'nang 柏子养心胶囊
'bo'zi'yang'xin'jiao'nang 柏子养心胶囊
'ban'bei'san 半贝散
'ben'xian'jia'xiao'zuo'fen'san'pian 苯酰甲硝唑分散片
'tong'yan'ning 痛炎宁
'pei'qi'tang 培气汤
'pei'qi'shang 培气汤
'di'qing 迪青
'fu'fang'qi'guan'yan'jiao'nang 复方气管炎胶囊
'ding'hun'tong'ti'dan 定魂同体丹
'di'fei 迪非
'shen'an 肾安
'qing'jia'tou'bao'jun'su'na 氰甲头孢菌素钠
'can'qi'quan'lu'wan 参杞全鹿丸
'shen'qi'quan'lu'wan 参杞全鹿丸
'cen'qi'quan'lu'wan 参杞全鹿丸
'san'qi'quan'lu'wan 参杞全鹿丸
'gu'ci'xiao'tong'jiao'nang 骨刺消痛胶囊
'yi'xing'nao'yan'mie'huo'yi 乙型脑炎灭活疫
'rui'li'fen 瑞力芬
'dan'tuo'ye'suan'si'yi'tang'shen'jing'jie'gan'zhi'na'zhu'she'ye 单唾液酸四已糖神经节苷脂钠注射液
'shan'tuo'ye'suan'si'yi'tang'shen'jing'jie'gan'zhi'na'zhu'she'ye 单唾液酸四已糖神经节苷脂钠注射液
'chan'tuo'ye'suan'si'yi'tang'shen'jing'jie'gan'zhi'na'zhu'she'ye 单唾液酸四已糖神经节苷脂钠注射液
'xiu'ti'zuo'lun'pian 溴替唑仑片
'chui'bi'liu'shen'san 吹鼻六神散
'shao'yao'gan'cao'tang 芍药甘草汤
'gao'si'hua 高思华
'san'han'yao 散寒药
'yuan'shen'sheng'ma'san 元参升麻散
'yi'wei'kang 怡维康
'yan'suan'na'qu'tong 盐酸纳曲酮
'fu'fang'xuan'ju'yi'qi'pian 复方玄驹益气片
'niu'bang'jiao'nang 牛蒡胶囊
'niu'pang'jiao'nang 牛蒡胶囊
'cang'zhu'zhu'gan'san 苍术猪肝散
'cang'shu'zhu'gan'san 苍术猪肝散
'di'ai'luo'wei 迪艾洛维
'fu'fang'bai'qu'cai'jian'zhu 复方白屈菜碱注
'an'chong'tiao'jing'tang 安冲调经汤
'an'chong'tiao'jing'shang 安冲调经汤
'qian'lie'kang'shu 前列康舒
'xi'ti'li'qin'pian 西替利嗪片
'hu'po'shen'ling'san 琥珀参苓散
'nao'de'sheng 脑得生
'nao'dei'sheng 脑得生
'shan'zhai'yao 山寨药
'min'bei'hong'gu 闽北红菇
'xiao'er'ke'chuan'ling'pao'teng'pian 小儿咳喘灵泡腾片
'ben'ti'lao'an'kou'fu'ye 苯替酪胺口服液
'zhu'she'yong'yi'ji'tai'yuan 注射用胰激肽原
'cang'er'zi'cha 苍耳子茶
'wu'han'pu'sheng'zhi'yao'you 武汉普生制药有
'huang'hua'bei'mu 黄花贝母
'chang'wei'ling'jiao'nang 肠胃灵胶囊
'zeng'sun'chai'hu'si'wu'tang 增损柴胡四物汤
'er'gen'du 耳根毒
'er'gen'dai 耳根毒
'du'juan'hua 杜鹃花
'da'na'zuo'shuan 达那唑栓
'ha'lou 蛤蒌
'ge'lou 蛤蒌
'si'chuan'sheng'xin'lu'yao'ye 四川省新鹿药业
'shang'shi'bao'zhen'gao 伤湿宝珍膏
'hui'ren'nao'xin'shu'kou'fu'ye 汇仁脑心舒口服液
'you'fu'ding 优福定
'ai'fu'nuan'gong 艾附暖宫
'yi'fu'nuan'gong 艾附暖宫
'sai'zhi'wang 塞痔亡
'se'zhi'wang 塞痔亡
'sai'zhi'wu 塞痔亡
'se'zhi'wu 塞痔亡
'juan'he'san 卷荷散
'a'ti'ka'yin 阿替卡因
'e'ti'ka'yin 阿替卡因
'shuang'huang'lian'ke'li'wu'tang 双黄连颗粒无糖
'en'ka'ni 恩卡尼
'bai'xian 白鲜
'an'su'meng 安苏萌
'xiao'er'jie're'shuan 小儿解热栓
'qi'xue'liang'fan'zheng 气血两燔证
'jia'wei'dang'gui'liu'huang'tang 加味当归六黄汤
'jia'wei'dang'gui'lu'huang'tang 加味当归六黄汤
'zhu'sha 朱砂
'da'zun'zhong'wan 大尊重丸
'dai'zun'zhong'wan 大尊重丸
'tai'zun'zhong'wan 大尊重丸
'shan'qie'zi'san 山茄子散
'tong'lo'suan'an'ding'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'luo'suan'an'ding'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'ge'suan'an'ding'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'ka'suan'an'ding'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'lo'suan'an'zheng'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'luo'suan'an'zheng'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'ge'suan'an'zheng'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'tong'ka'suan'an'zheng'san'chun'di'yan'ye 酮咯酸氨丁三醇滴眼液
'yan'suan'bei'ta'luo'er 盐酸倍他洛尔
'di'gu'jiang'tang 地骨降糖
'de'gu'jiang'tang 地骨降糖
'su'mei'shuang 苏梅爽
'luo'yan'cao 螺厣草
'yang'yin'qing'wei'ke'li 养阴清胃颗粒
'er'xing'jin'mao'luo'jue 耳形金毛裸蕨
'xuan'jing'wan 玄精丸
'tiao'wei'xiao'zhi 调胃消滞
'diao'wei'xiao'zhi 调胃消滞
'ai'bei'nuo 艾贝诺
'yi'bei'nuo 艾贝诺
'qian'lie'ning 前列宁
'su'nan'shan'du'tong'wan 苏南山肚痛丸
'guang'zhou'jian'xin'yao'ye'you 广州健心药业有
'he'che'da'zao'wan 河车大造丸
'xiao'er'mei'min'wei'ma'kou'fu'rong'ye 小儿美敏伪麻口服溶液
'qian'lie'an 前列安
'cu'suan'nuo'mei'yun'tong 醋酸诺美孕酮
'mei'ling'kou'fu'ye 梅苓口服液
'zhi'tong'tou'gu 止痛透骨
'jiao'mai'ya 焦麦芽
'xi'yan'zi'jin'gao 洗眼紫金膏
'san'ren'tang'jia'wei 三仁汤加味
'long'dan'zong'gan 龙胆总苷
'yin'xiang'pi 阴香皮
'bi'sha'ke'ding 比沙可啶
'su'qing'wan 苏青丸
'hai'ha'wan 海哈丸
'yi'bing'shen'shang'xian'su'zhu 异丙肾上腺素注
'cu'suan'di'sai'mi'song'zhu 醋酸地塞米松注
'cu'suan'di'se'mi'song'zhu 醋酸地塞米松注
'hai'bei'wei'yang 海贝胃疡
'nei'hong'xiao 内红消
'na'hong'xiao 内红消
'nei'gong'xiao 内红消
'na'gong'xiao 内红消
'xiang'qi'san 香脐散
'dan'shu'kang 胆舒康
'zheng'hong'hua'you 正红花油
'chong'yao'shui 虫咬水
'qing'gan'da'yu'tang 清肝达郁汤
'qing'gan'da'yu'shang 清肝达郁汤
'qu'feng'gao 祛风膏
'bu'shen'shu'gan'di'huang'san 补肾熟干地黄散
'bu'shen'shou'gan'di'huang'san 补肾熟干地黄散
'chong'zu'ren'nao'li'na'tai 重组人脑利钠肽
'jiang'xi'guo'yao'you'xian'ze 江西国药有限责
'fu'fang'di'sai'mi'song'cha'ji 复方地塞米松搽剂
'fu'fang'di'se'mi'song'cha'ji 复方地塞米松搽剂
'mu'ding'xiang 母丁香
'mao'ye'mu'tong 毛叶木通
'mao'xie'mu'tong 毛叶木通
'wu'yao'shun'qi'san 乌药顺气散
'ge'gen'shi'gao'tang 葛根石膏汤
'ge'gen'shi'gao'shang 葛根石膏汤
'bi'yuan'kou'fu'ye 鼻渊口服液
'qi'zhi'gu'zhi'wan 七制固脂丸
'da'ye'xian'mao 大叶仙茅
'xie'yang'wan 解痒丸
'xie'yang'wan 解痒丸
'bai'zhi'fang'feng'gao 白芷防风膏
'xiong'ju'shang'qing'ke'li'chong'ji 芎菊上清颗粒冲剂
'qi'zhi'jin'ling'wan 七制金铃丸
'hou'shu'cao 猴菽草
'shang'ke'qi'li'san 伤科七厘散
'xiao'ai'ye'tang 小艾叶汤
'xiao'ai'xie'tang 小艾叶汤
'xiao'ai'ye'shang 小艾叶汤
'xiao'ai'xie'shang 小艾叶汤
'xin'yi'tong 欣易通
'qie'dong 茄冬
'li'zhu'wei'ke 丽珠维可
'li'chong'wan 理冲丸
'jia'jian'san'cai'dan 加减三才丹
'yan'suan'zuo'fu'sha'xing'fen'san'pian 盐酸左氟沙星分散片
'shuo'diao'chi'zi 蒴藋赤子
'shuo'zhuo'chi'zi 蒴藋赤子
'shuo'di'chi'zi 蒴藋赤子
'pi'san'tang'ji 披散糖荠
'pi'san'tang'qi 披散糖荠
'tang'jian'san 糖煎散
'li'jia'shou 力加寿
'gan'feng'dan'jing'tang 甘风丹荆汤
'gan'feng'dan'jing'shang 甘风丹荆汤
'xiu'bi'si'de'ming 溴吡斯的明
'xiu'pi'si'de'ming 溴吡斯的明
'xiu'bi'si'di'ming 溴吡斯的明
'xiu'pi'si'di'ming 溴吡斯的明
'ji'he'yu 鸡翮羽
'gan'mao'di'wan 感冒滴丸
'ba'wei'chen'xiang'pian 八味沉香片
'si'chuan'qing'chun'bao'jiu'long 四川青春宝九龙
'yi'gan'san 抑肝散
'jiang'su'ya'bang'ai'pu'sen 江苏亚邦爱普森
'gu'yin'jian 固阴煎
'sheng'se'cao 声色草
'yi'lv'fen'suan'na'ning'jiao 以氯芬酸钠凝胶
'qi'ye'shen'an 七叶神安
'yin'huan'wei'ling'san 银环威灵散
'chan'hou'bu'wan 产后补丸
'huai'ju'ke'li 槐菊颗粒
'shu'qi'song 舒其松
'shu'ji'song 舒其松
'yi'li 奕利
'ji'chuan'ran'xing'fa'shi'nang'bing'mie'huo'yi'miao 鸡传染性法氏囊病灭活疫苗
'yan'zhi'jia'hua 岩指甲花
'gou'chuan'suan'qing'jia'na 枸椽酸氢钾钠
'ju'chuan'suan'qing'jia'na 枸椽酸氢钾钠
'cuo'dan'jian 措胆煎
'shen'yan'jian'cha'fa 砷盐检查法
'yan'suan'huan'bing'jia'qiang'er 盐酸环丙甲羟二
'jian'zhou'yan'tie 肩周炎贴
'chuan'bei'pi'pa'pian 川贝枇杷片
'ma'gen 麻根
'guan'xin'ling 冠心灵
'zi'xu'yuan'jun'tou'feng'dan 紫虚元君头风丹
'ying'er'su 婴儿素
'shou'bai'hui'xiang'wan 受拜茴香丸
'bai'mai 白脉
'bai'mo 白脉
'liu'wei'sheng'mai 六味生脉
'liu'wei'sheng'mo 六味生脉
'die'da'huo'xue'san 跌打活血散
'zhou'jia'lin 周嘉琳
'qing'xian'kuai'ge 清涎快膈
'gai'nuo 盖诺
'ge'nuo 盖诺
'he'nuo 盖诺
'geng'nian'le'pian 更年乐片
'geng'nian'yue'pian 更年乐片
'geng'nian'lao'pian 更年乐片
'xi'bing'an 烯丙胺
'bao'shen'kang'pian 保肾康片
'zhu'she'yong'yan'suan'lei'ni'ti'ding 注射用盐酸雷尼替丁
'huai'ye'tang 槐叶汤
'huai'ye'shang 槐叶汤
'xie'du'zhu'she'ye 蝎毒注射液
'chu'bi'yao 搐鼻药
'qing'zhi 清之
'huang'qin'yin 黄芩饮
'qiong'zhi'gao 琼脂膏
'ping'guo'pi 苹果皮
'jin'bu'huan'wan 金不换丸
'jia'wei'qian'shi'bai'zhu'san 加味钱氏白术散
'jia'wei'qian'shi'bai'shu'san 加味钱氏白术散
'wei'ni'an 维尼安
'bai'zhong'san 百中散
'gou'di'lv'lei'ta'ding'pian 枸地氯雷他定片
'gou'de'lv'lei'ta'ding'pian 枸地氯雷他定片
'ju'di'lv'lei'ta'ding'pian 枸地氯雷他定片
'ju'de'lv'lei'ta'ding'pian 枸地氯雷他定片
'liu'suan'ma'fei'kong'zhi'shi'pian 硫酸吗啡控制释片
'ze'fei'zhu'she'ye 泽菲注射液
'shi'fei'zhu'she'ye 泽菲注射液
'fu'yan'ping'pao'teng'pian 妇炎平泡腾片
'pai'qi'yin 排气饮
'xi'fu'wu'xi'bao'bai'ri 吸附无细胞百日
'xi'fu'mo'xi'bao'bai'ri 吸附无细胞百日
'sheng'xi'nao'luo'tong'jiao'nang 圣喜脑络通胶囊
'jian'pi'sheng'xue'ke'li 健脾生血颗粒
