'jia'ang 甲肮
'ke'cao 髁槽
'duo'chan'er 多产儿
'ku'cao'jing'ling 苦草精灵
'mao'zhua'cao'jiao'nang 猫爪草胶囊
'mao'cao'jian 茅草箭
'mao'zhua'cao'cha 猫爪草茶
'ku'dan'cao'pian 苦胆草片
'mao'cao'long 毛草龙
'mao'cao'long'gen 毛草龙根
'mang'cao'shi'zhong'du 莽草实中毒
'feng'hua'cao 丰花草
'ku'cao 苦草
'ku'dan'cao 苦胆草
'mei'hua'cao 梅花草
'mao'cao'ye 茅草叶
'mang'cao'gen 莽草根
'zu'bing 卒病
'zu'bei'jing'mai'gong 足背静脉弓
'nuo'chen 诺辰
'bai'lai'ju'su 白莱菊素
'mang'chang'ji'he'lin'ba'yang'zu'zhi 盲肠集合淋巴样组织
'la'chang'guo 腊肠果
'lian'bu'san'jiao'qu 脸部三角区
'ming'dang'shen 明党参
'mang'chang'cao 盲肠草
'zu'fa'bei'bing 足发背病
'lai'mei'qing 莱美清
'lai'mei'xing 莱美兴
'ci'chang'liao'fa 磁场疗法
'dong'ci'chang'liao'fa 动磁场疗法
'lai'pa 莱帕
'ai'lu'na 艾鲁那
'kun'chong'ji'bing 昆虫疾病
'dan'dao'hui'chong'bing 胆道蛔虫病
'dan'dao'hui'chong'bing'fa'yi'xian'yan 胆道蛔虫并发胰腺炎
'mao'chong'pi'yan 毛虫皮炎
'fang'hui'chong 防蛔虫
'kun'chong'xian'chong'bing 昆虫线虫病
'kun'chong'xi'bao 昆虫细胞
'kun'chong'ge'li 昆虫隔离
'lai'pu'luo'kang 莱普罗康
'dan'dao'hui'chong'zheng 胆道蛔虫症
'lu'nan'li'kang 鲁南力康
'lu'mi'tuo'pin 鲁米托品
'ding'liang'chen'dian'shi'yan 定量沉淀试验
'lu'nan'bei'te 鲁南贝特
'an'lu'mi'te'pian 氨鲁米特片
'an'lu'mi'te 氨鲁米特
'lu'nan'hou'pu'zhi'yao'you'xian'gong'si 鲁南厚普制药有限公司
'niu'chi'yu'bing 牛赤羽病
'fang'chong'fu'he'shang 放冲复合伤
'zu'bei'dong'mai 足背动脉
'lai'neng 莱能
'lu'de'zong'he'zheng 鲁德综合征
'lai'fu'luo 莱福罗
'bao'yin 暴喑
'lai'deng'jie'jing 莱登结晶
'ci'cheng'bing 茨城病
'ou'che'qian'qin'shui'jiao'ti 欧车前亲水胶体
'ou'che'qian'qin'shui'jiao 欧车前亲水胶
'feng'cheng'shi'xin'ren'min'yi'yuan 丰城市新人民医院
'lu'ge'shi'dian'ye 鲁哥氏碘液
'lai'qi 莱琪
'mu'chang'qu'ji 拇长屈肌
'lai'ge'ke'li 莱葛颗粒
'lai'ge 莱葛
'niu'bei'lu 牛背鹭
'dian'chang'shan 滇常山
'dian'chang'shan'hua 滇常山花
'lai'si'duo'wei 莱斯多维
'lai'en'shu'fen 莱恩舒芬
'mang'chang'rou'ya'zhong 盲肠肉芽肿
'zhui'ban'cheng'xing'shu 椎板成形术
'mu'chang'shen'ji'jian 拇长伸肌腱
'mu'chang'shen'ji 拇长伸肌
'lu'bi'ti'kang 鲁比替康
'lu'shi 鲁氏
'lai'shi 莱施
'ci'chang'sheng'wu'xiao'ying 磁场生物效应
'hua'chang 华畅
'lai'wen'yi'liao'wang 莱文医疗网
'hua'lian'xi'xin 花脸细辛
'lai'wei'xiao'ti'bing 莱维小体病
'bian'cheng'xing'xi'bao'si'wang 编程性细胞死亡
'lai'en'wei'su 莱恩维苏
'kai'lai'ting 凯莱汀
'kai'lai'tong 凯莱通
'liu'chang'zhuang'tai 流畅状态
'lai'wo'xing 莱沃幸
'kang'lai'te'zhu'she'ye 康莱特注射液
'kang'lai'te'ruan'jiao'nang 康莱特软胶囊
'lai'te'er'zong'he'zheng 莱特尔综合症
'lai'te'er'zong'he'zheng 莱特尔综合征
'mao'che'teng 毛车藤
'niu'chao'teng 牛抄藤
'kai'lai 楷莱
'lu'bei 鲁贝
'lai'yang'li'gao 莱阳梨膏
'lai'yang'li'zhi'ke'ke'li 莱阳梨止咳颗粒
'lai'yang'li'zhi'ke'tang'jiang 莱阳梨止咳糖浆
'lai'yang'li'zhi'ke 莱阳梨止咳
'lai'yang'li'zhi'ke'kou'fu'ye 莱阳梨止咳口服液
'lu'bin'jiu'bei 鲁宾酒杯
'lai'ang'jia'shuo 莱昂假说
'mu'chang'zhan'ji 拇长展肌
'liu'chu'dao'bu'pian'shu 流出道补片术
'zu'chi'cun'kou 卒持寸口
'mang'chang'pang'guang'kuo'da'shu 盲肠膀胱扩大术
'mang'chang'zao'lou'shu 盲肠造瘘术
'lian'hong'zheng'hou'qun 脸红症候群
'mang'chang'zao'kou'shu 盲肠造口术
'dan'dao'chu'xue 胆道出血
'niu'chu'xue'xing'bai'xue'bing 牛出血性败血病
'dian'chi'hai'tang 滇池海棠
'mang'chang'hou'wei'lan'wei 盲肠后位阑尾
'lou'chu'ye 漏出液
'niu'chu'bai'bing 牛出败病
'lai'yi'fen 莱亿芬
'qia'chi'long'qi 髂耻隆起
'lai'er'cuo'jue 莱尔错觉
'chuan'bei'lai'fu'cha 川贝莱菔茶
'lai'fu'zi'luo'bo'zi 莱菔子萝卜子
'lai'fu'ye 莱菔叶
'kuo'chi'tu'chun'hua 阔齿兔唇花
'duo'chi'ti'gai'jue 多齿蹄盖蕨
'niu'chi 牛齿
'zhuo'lai 卓莱
'zu'fa'bei 足发背
'mi'ding'ben'jie 嘧啶苯芥
'ku'liang'jiang 苦良姜
'lei'fang'zhun'sheng 类方准绳
'xiu'cu'jia'dan'jian 溴醋甲胆碱
'liang'jing'jing 亮睛晶
'pai'du'jiang'zhi'jiao'nang 排毒降脂胶囊
'lei'jing'fu'yi 类经附翼
'pai'du'jiang'zhi 排毒降脂
'xiu'ben'chun'an 溴苯醇胺
'dong'ling'jing'chun'kang'shuan'mei 东菱精纯抗栓酶
'bei'mei'ji'zhu'wai'ke'xue'hui 北美脊柱外科学会
'fan'zhuan'lu'bing'du 反转录病毒
'men'jing'mai'xing'gan'ying'hua 门静脉性肝硬化
'men'jing'mai'xue'shuan'xing'cheng 门静脉血栓形成
'men'jing'mai'yan 门静脉炎
'men'jing'mai'gao'ya'xing'wei'bing 门静脉高压性胃病
'men'jing'mai'gao'ya 门静脉高压
'leng'du'cao 冷毒草
'leng'huan'jing 冷环境
'cui'lian'jie'du'pian 翠莲解毒片
'ban'lan'jie'du 板蓝解毒
'cui'lian'jie'du 翠莲解毒
'ban'lan'jie'du'zhu'she'ye 板蓝解毒注射液
'gai'liang'ling'xing'pi'ban 改良菱形皮瓣
'mo'ji'long'si'zheng 莫吉隆斯症
'dian'lan'lv'se'dian 靛兰铝色淀
'pa'ji'lin 帕吉林
'mei'jie'mian 美解眠
'xiu'ben'na'min 溴苯那敏
'xiu'jia'bei'na'ti'qin'pian 溴甲贝那替嗪片
'xiu'jia'bei'na'ti'qin 溴甲贝那替嗪
'xiu'jia'bei'na'ti'qin'pian 溴甲贝那替秦片
'xiu'jia'bei'na'ti'qin 溴甲贝那替秦
'mo'ji'si'tan 莫吉司坦
'zhuan'lu'qi'shi'wei'dian 转录起始位点
'fan'zhuan'lu'mei 反转录酶
'niu'zhuan'jing'luan 扭转痉挛
'pei'ji'te'bing 佩吉特病
'pei'ji'te'shi'bing 佩吉特氏病
'leng'jiu'fa 冷灸法
'luo'ji 洛吉
'ni'jiu 泥灸
'lian'jie'zhu'yi'xin'li'xue 联结主义心理学
'fan'zhuan'lu'zhuan'zuo'zi 反转录转座子
'fan'zhuan'lu'mei'ji'yin 反转录酶基因
'xiu'hua'ji 溴化剂
'nong'mo'jian'fu'tiao'zhi'qi 浓磨煎服调滞气
'bei'mu'lan 贝母兰
'ling'jiao'bai'juan'bing 菱角白绢病
'luo'ben'qing 洛本清
'pai'du'qing'zhi'jiao'nang 排毒清脂胶囊
'ke'li'zhuang'jiao'mo'ying'yang'bu'liang 颗粒状角膜营养不良
'pai'du'qing'zhi 排毒清脂
'ling'jiao'fen 菱角粉
'ao'de'jin 奥德金
'xiu'ben'xin 溴本辛
'gai'liang'xing'wei'liao'fa 改良行为疗法
'pa'jin'sen'die'jia'zheng 帕金森叠加征
'mei'jin'gang 美金刚
'gai'liang'shi'jian'tou'ka'huan 改良式箭头卡环
'zhuan'lu'shui'ping 转录水平
'mao'mu'shu'pi 毛木树皮
'ku'mu'zhu'she'ye 苦木注射液
'lian'ben'shuang'zhi'jiao'nang 联苯双酯胶囊
'lian'ben'shuang'zhi'pian 联苯双酯片
'gai'liang'shu'shi 改良术式
'lian'ben'shuang'zhi'di'wan 联苯双酯滴丸
'lian'ben'shuang'zhi 联苯双酯
'mao'mu'shu'ye 毛木树叶
'ao'lai'du'su'zhong'du 奥来毒素中毒
'lian'ben'shuang'zhi'kou'fu'hun'xuan'ye 联苯双酯口服混悬液
'xiu'ben'bi'bing'an 溴苯比丙胺
'fu'mi'nuo'ben 福米诺苯
'fen'bian'jian'cha 粪便检查
'lian'ben'xia'zuo 联苯下唑
'ze'du'tang 迮毒汤
'xiu'jia'tuo'pin'di'yan'ye 溴甲托品滴眼液
'xiu'jia'a'tuo'pin 溴甲阿托品
'xiu'jia'wan'zhong'du 溴甲烷中毒
'lv'jiao'shou'jian'kang'fa 吕教授健康法
'la'mu'tong 辣木通
'mao'mu'tong 毛木通
'lei'nuo'kao'te 雷诺考特
'ni'dan'jian'yao 拟胆碱药
'gai'liang'wei'de'man'fan'ban'shu 改良威德曼翻瓣术
'kui'dian'fang 喹碘方
'ku'mu 苦木
'lei'dan'du 类丹毒
'lei'jing 类经
'ling'jing 菱茎
'kun'ming'ji'xue'teng 昆明鸡血藤
'niu'mu'jiao 牛目椒
'lian'jia 联佳
'li'de'jia 力得佳
'pai'du'yang'yan'ruan'jiao'nang 排毒养颜软胶囊
'xiu'huan'ji'an'chun'pian 溴环己胺醇片
'xiu'ji'an'dan'jian 溴己氨胆碱
'xiu'ben'xian'ben'fu'nan 溴苯酰苯呋喃
'xiu'huan'ji'an'chun 溴环己胺醇
'xiu'ben'hai'la'ming 溴苯海拉明
'ni'jin'li'xiang 拟进里香
'mei'jia'ming 美加明
'cen'lian'jiao'nang 岑连胶囊
'lou'lian'jiao'nang 楼莲胶囊
'ming'mu'jiao'nang 明目胶囊
'ban'lan'da'qing'ke'li 板兰大青颗粒
'mo'jia'qing'ning'wan 莫家清宁丸
'mo'jia'qing'ning 莫家清宁
'xiu'ji'xin'pu'tao'tang'zhen 溴己新葡萄糖针
'xiu'ji'xin'qi'wu'ji 溴己新气雾剂
'xiu'ji'xin'pian 溴己新片
'xiu'ji'xin'zhu'she'ye 溴己新注射液
'mei'jia'xin 美加欣
'xiu'ji'xin 溴己新
'pei'fang'zhong'yao'ke'li 配方中药颗粒
'mei'bao'jing'fu'shuang 美宝净肤霜
'fan'zhuan'lu'zi 反转录子
'fu'ni'ai'huai'ju 富尼埃坏疽
'luo'jing'hou'feng 落颈喉风
'xiu'cu'ji'wan'ci'fen 溴醋己烷雌酚
'xiu'ji'an 溴己铵
'ku'mu'ye 苦木叶
'leng'jue 冷觉
'lian'jue 联觉
'ni'jiang'yu 泥浆浴
'xiu'jia'yi'an'jing'ping 溴甲乙胺痉平
'gai'liang'hou 改良后
'zhuan'lu'zhong'zhi'qu 转录终止区
'xiu'huan'ji'xian'an 溴环己酰胺
'xiu'ji'an 溴己胺
'lian'ben'ka'zuo'rong'ye 联苯卡唑溶液
'lian'ben'ka'zuo 联苯卡唑
'xiu'hua'jia'ji'ben'na'xin 溴化甲基苯那辛
'liang'jun'jia'su'lv'hua'na'zhu'she'ye 亮菌甲素氯化钠注射液
'liang'jun'jia'su'lv'hua'na 亮菌甲素氯化钠
'liang'jun'jia'su'pu'tao'tang'zhu'she'ye 亮菌甲素葡萄糖注射液
'liang'jun'jia'su'pu'tao'tang 亮菌甲素葡萄糖
'liang'jun'jia'su'pian 亮菌甲素片
'liang'jun'jia'su'zhu'she'ye 亮菌甲素注射液
'ku'mu'zong'jian 苦木总碱
'xiu'hua'jia'ji'ben'qiang'yi'an 溴化甲基苯羟乙胺
'ban'lan'gen'chong'ji 板兰根冲剂
'ban'lan'gen'ke'li 板兰根颗粒
'lian'ben'bian'zuo'pen'wu'ji 联苯苄唑喷雾剂
'lian'ben'bian'zuo'ning'jiao 联苯苄唑凝胶
'lian'ben'bian'zuo'shuang'ji 联苯苄唑霜剂
'lian'ben'bian'zuo'shuang 联苯苄唑霜
'lian'ben'bian'zuo'ru'gao'ji 联苯苄唑乳膏剂
'lian'ben'bian'zuo'ru'gao 联苯苄唑乳膏
'lian'ben'bian'zuo'ruan'gao 联苯苄唑软膏
'lian'ben'bian'zuo'shuan 联苯苄唑栓
'lian'ben'bian'zuo'rong'ye 联苯苄唑溶液
'lian'ben'bian'zuo 联苯苄唑
'lian'ben'bian'zuo'yin'dao'pian 联苯苄唑阴道片
'mo'fang'jun'shu 模仿菌属
'ban'lan'gen'tang 板兰根汤
'liang'jun'tang'jiang 亮菌糖浆
'xiu'hua'jia'ji'wei'fu'kang 溴化甲基胃复康
'ku'mu'gen 苦木根
'liang'jun 亮菌
'xiu'hua'jia'ji'qiang'yi'an 溴化甲基羟乙胺
'dao'de'jia'zhi 道德价值
'liang'jun'kou'fu'ye 亮菌口服液
'xiu'hua'jia'ji'dong'lang'dang'jian 溴化甲基东莨菪碱
'xiu'jia'dong'lang'dang'jian'pian 溴甲东莨菪碱片
'xiu'jia'dong'lang'dang'jian 溴甲东莨菪碱
'mi'duo'jun'pian 米多君片
'mi'duo'jun 米多君
'bei'mu'hua'liu'jin'gao 贝母花流浸膏
'leng'zhuang'ju'niao'dao 棱状巨尿道
'niu'mei'dao'cao'zhong'du 牛霉稻草中毒
'mao'mei'jun'bing 毛霉菌病
'du'niu'mei'jun'xing'fei'yan 犊牛霉菌性肺炎
'mao'mei'jun 毛霉菌
'leng'fan'guo 冷饭果
'leng'fan'guo'ye 冷饭果叶
'mao'mei'bing 毛霉病
'liang'guang'cai 亮光菜
'niu'mei'lan'gan'shu'zhong'du 牛霉烂甘薯中毒
'pei'gu'li 培古立
'ni'gu'ding'she'xia'pian 尼古丁舌下片
'ni'gu'ding'suan 尼古丁酸
'ni'gu'ding'ti'dai'liao'fa 尼古丁替代疗法
'ni'gu'ding'tie'ji 尼古丁贴剂
'leng'guang'zi'nen'fu 冷光子嫩肤
'leng'guang'yuan'shu'jing'guan'zao'ying'shu 冷光源输精管造影术
'pai'gu'ling 排骨灵
'mao'zhuang'gu'nei'zhong'zhi'ti 锚状骨内种植体
'lei'gu 泪骨
'qi'gu 岐骨
'xiu'kang'gan'ming 溴抗感明
'mei'hua'lu'rong 梅花鹿茸
'mei'hua'lu'rong'xue 梅花鹿茸血
'lin'mei'su'na'jia'yang'bian'ding'jiao'nang 磷霉素钠甲氧苄啶胶囊
'lin'mei'su'gai'jia'yang'bian'jiao'nang 磷霉素钙甲氧苄胶囊
'lin'mei'su'gai'jia'yang'bian'ding'jiao'nang 磷霉素钙甲氧苄啶胶囊
'lin'mei'su'gai'jia'yang'bian'ding 磷霉素钙甲氧苄啶
'lin'mei'su'gai'jiao'nang 磷霉素钙胶囊
'lin'mei'su'gai'ke'li 磷霉素钙颗粒
'lin'mei'su'gai'pian 磷霉素钙片
'lin'mei'su'gai 磷霉素钙
'ai'de'mei'su 埃得霉素
'a'la'mei'su 阿拉霉素
'a'mi'ka'mei'su 阿米卡霉素
'dan'mei'su 氮霉素
'lian'mei'su'zhu'she'ye 链霉素注射液
'en'duo'mei'su 恩多霉素
'en'la'mei'su 恩拉霉素
'lin'mei'su'an'ding'san'chun'san 磷霉素氨丁三醇散
'lin'mei'su'an'ding'san'chun 磷霉素氨丁三醇
'lian'mei'su'di'bi'ye 链霉素滴鼻液
'lian'mei'su'di'yan'ji 链霉素滴眼剂
'lian'mei'su'di'yan'ye 链霉素滴眼液
'ku'mei'su 苦霉素
'mi'ka'mei'su 米卡霉素
'lei'gu'chun'jing'mai'ma'zui'yao 类固醇静脉麻醉药
'lei'gu'chun'ji'bing 类固醇肌病
'ming'mu'gu'ben'wan 明目固本丸
'lei'gu'chun'hou'zhi'mo'lei 类固醇后脂膜类
'mao'ku'gua 毛苦瓜
'xiu'hua'gui'er'an'ben'zhi 溴化癸二胺苯酯
'mao'mei 毛霉
'lian'dong'guan'jie 联动关节
'lan'gong'zhu'shou'shen'ji 懒公主瘦身记
'mei'guo'guo'jia'yi'xue'tu'shu'guan 美国国家医学图书馆
'mei'guo'guo'jia'ai'zheng'yan'jiu'suo 美国国家癌症研究所
'mei'guo'ma'zui'shi'xie'hui 美国麻醉师协会
'ke'li'guan'xing 颗粒管型
'mei'guo'shi'pin'ji'yao'wu'guan'li'ju 美国食品及药物管理局
'mei'guo'shao'ci'ya'zhi'bei 美国烧瓷牙制备
'mei'guo'wei'yang'yang'shen'chong'ji 美国威洋洋蔘冲剂
'mei'guo'yang'shen'wan 美国洋参丸
'mei'guo'yao'dian 美国药典
'mei'guo'ai'zheng'yan'jiu'xie'hui 美国癌症研究协会
'lei'guan'er'ya'zhi'zhi'zong'he'zheng 泪管耳牙指趾综合症
'lei'bing'du'jie 类病毒界
'mei'bu'sai'qin 美布噻嗪
'qi'bo'jiu 岐伯灸
'luo'bu'sang'jiao'nang 洛布桑胶囊
'luo'bu'sang 洛布桑
'luo'bu'sang'kou'fu'ye 洛布桑口服液
'kun'liu'an'jiao'nang 坤流安胶囊
'du'nuo'fan'bing 杜诺凡病
'bei'mei'an 倍美安
'beng'lou'bing 崩漏病
'mei'bo'ke'la'mei'su'jiao'nang 美博克拉霉素胶囊
'du'nuo'fan'rou'ya'zhong 杜诺凡肉芽肿
'ni'cai'tie 尼采贴
'la'la'cai 辣辣菜
'lian'hua'feng'cha 莲花峰茶
'mao'lian'cai 毛连菜
'mao'cui'se'yao 毛悴色夭
'luo'hua'can'pian 落花参片
'lian'mei'an'hui'tang 连梅安蛔汤
'bai'ni'can 白尼参
'bao'ling'can 保龄参
'luo'hua'can 落花参
'mian'can 绵参
'lei'nuo'bing 雷诺病
'liang'bo 亮博
'luo'bo 洛铂
'mo'fang'bing 模仿病
'luo'bo'ya'sheng'jun'bing 洛博芽生菌病
'ming'mu'bo'yun'san 明目拨云散
'leng'cang'zu'zhi'yi'zhi'wu 冷藏组织移植物
'mo'mo'bu'yu'yin'shi 默默不欲饮食
'ni'bo'er'yuan'wei'zi 尼泊尔鸢尾子
'mu'di'chan'dou 目的颤抖
'nong'chan 弄产
'bai'leng'cao 白冷草
'chuan'ling'cao 串铃草
'pai'cao'xiang 排草香
'mao'mao'cao 猫毛草
'niu'mao'cao 牛毛草
'leng'dong'ji'liang 冷冻剂量
'leng'dong'bao'hu'ji 冷冻保护剂
'duo'bai'lai'ju'ling 多白莱菊灵
'leng'dong'gu'ding 冷冻固定
'ku'lu'bing 库鲁病
'mei'chang'an 美肠安
'mei'chang'an 美常安
'leng'dong'chao'bao'qie'pian'shu 冷冻超薄切片术
'leng'dong'liao'fa 冷冻疗法
'leng'dong'mei'rong'liao'fa 冷冻美容疗法
'leng'dong'ma'zui 冷冻麻醉
'leng'dong'bao'cun 冷冻保存
'pai'chi'wei'xiang 排斥危象
'leng'chen'dian 冷沉淀
'leng'chao'min'xing'pi'fu'bing 冷超敏性皮肤病
'leng'chao'min'xing 冷超敏性
'pai'chi'fan'ying 排斥反应
'mi'lu'li 米鲁利
'leng'dong'ning'gu 冷冻凝固
'leng'dong'qie'pian'shu 冷冻切片术
'nuo'lai'xin 诺莱欣
'pei'chang'xing'shen'jing'zheng 赔偿性神经症
'ke'lai'si'gu'zhe 柯莱斯骨折
'leng'dong'sun'shang 冷冻损伤
'ke'lai'shi'gu'zhe 柯莱氏骨折
'leng'dong'shi'ke 冷冻蚀刻
'leng'dong'si'lie 冷冻撕裂
'leng'dong'gan'zao'pi 冷冻干燥皮
'leng'dong'gan'zao'fa'zu'zhi'zhu'cun 冷冻干燥法组织贮存
'leng'dong'wai'ke'shou'shu 冷冻外科手术
'leng'dong'duan'lie 冷冻断裂
'du'lai'te'shi'zheng 杜莱特氏症
'leng'dong'zhi'xue 冷冻止血
'leng'dong'zhi'huan 冷冻置换
'kang'duo'lai'ang'shou'shu 康多莱昂手术
'leng'dong'zhi'liao'qi 冷冻治疗器
'ou'lai 欧莱
'xiu'chang'chun'an 溴长春胺
'ni'chu'chong'ju'lei'nong'yao'zhong'du 拟除虫菊类农药中毒
'lei'chu'chong'ju 类除虫菊
'ni'chu'chong'ju'zhi'lei'nong'yao'zhong'du 拟除虫菊酯类农药中毒
'ni'chu'chong'ju'zhi'lei'sha'chong'ji 拟除虫菊酯类杀虫剂
'lv'mei'ju'jue'pian 铝镁咀嚼片
'lv'mei'jia'hun'xuan'ye 铝镁加混悬液
'lv'mei'jia 铝镁加
'ling'lan'du'dai 铃兰毒甙
'ling'lan'du'gan 铃兰毒苷
'mei'hua'fu'chan 美华妇产
'liang'lan'lv'se'dian 亮兰铝色淀
'lv'mei'pi'lin'pian 铝镁匹林片
'lv'mei'pi'lin 铝镁匹林
'dao'de'liang'nan 道德两难
'ling'lan'xin 铃兰欣
'dian'pa'chun 碘帕醇
'mian'mao'jin'yao 绵毛金腰
'lv'mei'si'pian 铝镁司片
'lv'mei'si 铝镁司
'dian'pa'chun'zhu'she'ye 碘帕醇注射液
'pei'ou'shen'yi'zhi 配偶肾移植
'lou'lu'mu'tong'jiu 漏芦木通酒
'lv'mei'hun'xuan'ye 铝镁混悬液
'liang'lan 亮兰
'de'luo'jia 德洛佳
'feng'ling'jiao'nang 峰龄胶囊
'lv'mei'dian'qie'pian 铝镁颠茄片
'lv'mei'dian'qie 铝镁颠茄
'li'mi'bo'liao'fa 厘米波疗法
'duo'mei'bing 多寐病
'lei'dao'chong'xi 泪道冲洗
'ni'lu'mi'te 尼鲁米特
'dan'ni'lai'ke 丹尼莱克
'ni'lu'di'ping 尼鲁地平
'luo'lun'ci'jie'gu'shu 洛伦茨截骨术
'mei'ou'ka'mei'su'gan'tang'jiang 美欧卡霉素干糖浆
'lei'pa'mei'su 雷帕霉素
'ni'ao'mei'su 尼奥霉素
'ni'la'mei'su 尼拉霉素
'ni'pa'bing'du 尼帕病毒
'leng'lei'bing 冷泪病
'mei'li'lu 美立鲁
'pei'luo'mei'su 培洛霉素
'pa'ni'pei'nan'bei'ta'mi'long 帕尼培南倍他米隆
'mei'luo'pei'nan 美洛培南
'pa'ni'pei'nan 帕尼培南
'du'niu'mo'ni'ci'tao'chong'bing 犊牛莫尼茨绦虫病
'a'ni'pa'mi 阿尼帕米
'xiu'mo'ni'ding 溴莫尼定
'mei'lian'mian'yi'xi'fu'ji'ce'ding 酶联免疫吸附剂测定
'mei'lian'mian'yi'xi'fu'ce'ding 酶联免疫吸附测定
'mei'lian'mian'yi'xi'fu'shi'yan 酶联免疫吸附试验
'mei'lian'mian'yi'xi'fu'fa 酶联免疫吸附法
'mei'duo'luo'er 美多洛尔
'mei'luo'ning 美洛宁
'xiu'mi'na'pu'lu'ka'yin'zhu'she'ye 溴米那普鲁卡因注射液
'xiu'mi'na'pu'lu'ka'yin 溴米那普鲁卡因
'pa'pa'fei'lin 怕怕非林
'mei'pa'qu'xing 美帕曲星
'pei'mei'qu'sai'er'na 培美曲塞二钠
'xiu'mi'na 溴米那
'ni'mei'xin 尼美欣
'mei'nuo'ping'ke'li 美诺平颗粒
'luo'mo'si'ting'jiao'nang 洛莫司汀胶囊
'luo'mo'si'ting 洛莫司汀
'ni'mo'si'ting 尼莫司汀
'mei'nuo'ping 美诺平
'ni'mo'si'ding 尼莫司丁
'luo'mei'sha'xing'jiao'nang 洛美沙星胶囊
'luo'mei'sha'xing'ke'li 洛美沙星颗粒
'luo'mei'sha'xing'pian 洛美沙星片
'luo'mei'sha'xing'zhu'she'ye 洛美沙星注射液
'luo'mei'sha'xing'ru'gao 洛美沙星乳膏
'luo'mei'sha'xing'di'yan'ye 洛美沙星滴眼液
'luo'mei'sha'xing'di'er'ye 洛美沙星滴耳液
'mi'li'nong'lv'hua'na'zhu'she'ye 米力农氯化钠注射液
'ni'mei'shu'li'jiao'nang 尼美舒利胶囊
'ni'mei'shu'li'pian 尼美舒利片
'ni'mei'shu'li'ning'jiao 尼美舒利凝胶
'ni'mei'shu'li'gan'hun'xuan'ji 尼美舒利干混悬剂
'ni'mei'shu'li'hun'xuan'ji 尼美舒利混悬剂
'ni'mei'shu'li'fen'san'pian 尼美舒利分散片
'ni'mei'shu'li'huan'shi'jiao'nang 尼美舒利缓释胶囊
'mi'ding'lei'si'wu 嘧啶类似物
'pa'pei'zi'huan'lu 帕佩兹环路
'pa'mi'lin'suan'er'na'zhu'she'ye 帕米磷酸二钠注射液
'pa'mi'lin'suan'er'na 帕米磷酸二钠
'bei'mei'li'pian 倍美力片
'duo'pa'fei 多帕菲
'pa'la'mi'song 帕拉米松
'mi'li'nong'pu'tao'tang'zhu'she'ye 米力农葡萄糖注射液
'mei'kai'lang'di'yan'ye 美开朗滴眼液
'lei'mi'feng'pian 雷米封片
'leng'liao 冷疗
'leng'liao'fa 冷疗法
'mei'kai'lang 美开朗
'ni'liao'fa 泥疗法
'ni'mei'su'li 尼美苏利
'dian'mei'pu'er 碘美普尔
'pa'de'ling 帕得灵
'lv'na'dian'qie'pian 铝钠颠茄片
'lv'na'dian'qie 铝钠颠茄
'xiu'na 溴钠
'ka'lu'mo'nan'na 卡芦莫南钠
'mei'luo'xi'lin'na'shu'ba'tan'na 美洛西林钠舒巴坦钠
'mei'luo'xi'lin'na 美洛西林钠
'mei'luo'xi'lin 美洛西林
'ni'mei'xi'pan 尼美西泮
'ka'lu'mo'nan 卡芦莫南
'mei'luo'xi'kang'jiao'nang 美洛昔康胶囊
'mei'luo'xi'kang'pian 美洛昔康片
'mei'luo'xi'kang'fen'san'pian 美洛昔康分散片
'ou'mian'ma 欧绵马
'kui'de'kang'ke'li 溃得康颗粒
'la'mo'ni 蜡模拟
'li'mi'de 厘米的
'a'luo'la'an 阿洛拉胺
'luo'mei'kang 洛美康
'mei'duo'ba 美多芭
'mei'ka'la'ming 美卡拉明
'dian'luo'mi 碘洛醚
'dian'luo'mi'rong'ye 碘洛醚溶液
'ni'yuan 尼沅
'an'lai'che'nuo 氨来呫诺
'ni'mo'di'ping'jiao'nang 尼莫地平胶囊
'ni'mo'di'ping'jiao'wan 尼莫地平胶丸
'ni'mo'di'ping'pian 尼莫地平片
'ni'mo'di'ping'zhu'she'ji 尼莫地平注射剂
'ni'mo'di'ping'zhu'she'ye 尼莫地平注射液
'ni'mo'di'ping'ruan'jiao'nang 尼莫地平软胶囊
'ni'mo'di'ping'fen'san'pian 尼莫地平分散片
'ni'mo'di'ping'huan'shi'jiao'nang 尼莫地平缓释胶囊
'ni'mo'di'ping'huan'shi'pian 尼莫地平缓释片
'ni'mo'di'ping'kong'shi'pian 尼莫地平控释片
'ao'ding'ni 奥丁尼
'leng'lei'zheng 冷泪症
'mei'duo'li 美多丽
'mei'la'de'fan'ying 美拉德反应
'mi'pa'lin 米帕林
'ao'mei'la'zuo'jiao'nang 奥美拉唑胶囊
'ao'mei'la'zuo'chang'rong'jiao'nang 奥美拉唑肠溶胶囊
'ao'mei'la'zuo'chang'rong'pian 奥美拉唑肠溶片
'ao'mei'la'zuo'mei'chang'rong'pian 奥美拉唑镁肠溶片
'ao'mei'la'zuo'mei 奥美拉唑镁
'ao'mei'la'zuo'na'fu'zhuan'yong'rong'ji 奥美拉唑钠附专用溶剂
'ao'mei'la'zuo'na'chang'rong'pian 奥美拉唑钠肠溶片
'ao'mei'la'zuo'na 奥美拉唑钠
'ao'mei'la'zuo'wei'wan 奥美拉唑微丸
'a'mi'luo'li'pian 阿米洛利片
